Sequence_ID,Status
MW122400.1,Somente em Zika270ONE
MW122401.1,Somente em Zika270ONE
MW122413.1,Somente em Zika270ONE
MW122418.1,Somente em Zika270ONE
MW122422.1,Somente em Zika270ONE
MW122424.1,Somente em Zika270ONE
MW122426.1,Somente em Zika270ONE
MW122430.1,Somente em Zika270ONE
MW122441.1,Somente em Zika270ONE
MW122444.1,Somente em Zika270ONE
MW122445.1,Somente em Zika270ONE
MW122450.1,Somente em Zika270ONE
MW122451.1,Somente em Zika270ONE
MW143022.1,Somente em Zika270ONE
MW680970.1,Somente em Zika270ONE
MZ008356.1,Somente em Zika270ONE
NC_012532.1,Somente em Zika270ONE
OK054351.1,Somente em Zika270ONE
OK054369.1,Somente em Zika270ONE
OK054370.1,Somente em Zika270ONE
OK054371.1,Somente em Zika270ONE
OK054372.1,Somente em Zika270ONE
OK054373.1,Somente em Zika270ONE
OK054374.1,Somente em Zika270ONE
OK054381.1,Somente em Zika270ONE
OK054382.1,Somente em Zika270ONE
OK054383.1,Somente em Zika270ONE
OK054384.1,Somente em Zika270ONE
OK054394.1,Somente em Zika270ONE
OK054397.1,Somente em Zika270ONE
OK054402.1,Somente em Zika270ONE
OK054405.1,Somente em Zika270ONE
OK054409.1,Somente em Zika270ONE
OK054411.1,Somente em Zika270ONE
OK054417.1,Somente em Zika270ONE
OK054418.1,Somente em Zika270ONE
OK054419.1,Somente em Zika270ONE
OK054422.1,Somente em Zika270ONE
OK054423.1,Somente em Zika270ONE
OK054424.1,Somente em Zika270ONE
OK054441.1,Somente em Zika270ONE
OK054487.1,Somente em Zika270ONE
OK569757.1,Somente em Zika270ONE
OK569758.1,Somente em Zika270ONE
OK569760.1,Somente em Zika270ONE
OL414716.1,Somente em Zika270ONE
OL450366.1,Somente em Zika270ONE
OM522327.1,Somente em Zika270ONE
OM666891.1,Somente em Zika270ONE
OM666892.1,Somente em Zika270ONE
ON123672.1,Somente em Zika270ONE
ON142673.1,Somente em Zika270ONE
ON142674.1,Somente em Zika270ONE
OP898542.1,Somente em Zika270ONE
OQ338853.1,Somente em Zika270ONE
OQ661915.1,Somente em Zika270ONE
OQ661918.1,Somente em Zika270ONE
PP626400.1,Somente em Zika270ONE
PP626401.1,Somente em Zika270ONE
PP626403.1,Somente em Zika270ONE
PP626405.1,Somente em Zika270ONE
PP626406.1,Somente em Zika270ONE
PP626408.1,Somente em Zika270ONE
PP626409.1,Somente em Zika270ONE
PQ129495.1,Somente em Zika270ONE
PQ203661.1,Somente em Zika270ONE
PQ849443.1,Somente em Zika270ONE
PQ869244.1,Somente em Zika270ONE
PQ869245.1,Somente em Zika270ONE
PQ869246.1,Somente em Zika270ONE
PQ869247.1,Somente em Zika270ONE
PQ869248.1,Somente em Zika270ONE
PQ869249.1,Somente em Zika270ONE
PQ869250.1,Somente em Zika270ONE
PQ869251.1,Somente em Zika270ONE
PQ869252.1,Somente em Zika270ONE
PQ869253.1,Somente em Zika270ONE
PQ869254.1,Somente em Zika270ONE
PQ869255.1,Somente em Zika270ONE
PQ869256.1,Somente em Zika270ONE
PQ869257.1,Somente em Zika270ONE
PQ869258.1,Somente em Zika270ONE
PQ869259.1,Somente em Zika270ONE
PQ869260.1,Somente em Zika270ONE
PQ869261.1,Somente em Zika270ONE
PQ869262.1,Somente em Zika270ONE
PQ869263.1,Somente em Zika270ONE
PQ869264.1,Somente em Zika270ONE
PQ869265.1,Somente em Zika270ONE
PQ869266.1,Somente em Zika270ONE
